Query,Clicks,Impressions,CTR,Position
leather laptop briefcase,0,1099,0%,3.9
curtains made to measure,0,1093,0%,4.08
john lewis iphone 12,0,1085,0%,4.75
shoulder bags for men,0,1080,0%,4.22
john lewis extra wide curtains,0,1062,0%,4.02
brown leather briefcase,0,1060,0%,1.62
black briefcase,0,1052,0%,4.86
large toiletry bag with compartments,0,1039,0%,9.03
makeup organiser bag,0,1017,0%,8.59
luxury mugs,0,1008,0%,4.18
laptop bag men,0,1007,0%,2.98
womens makeup bag,0,1001,0%,2.88
fancy mugs,0,1000,0%,2.68
makeup bags uk,0,1000,0%,3.69
john lewis mens,0,995,0%,3.26
bedside table clock,0,987,0%,7.62
garden coffee tables,0,979,0%,6.47
black leather briefcase,0,977,0%,2.38
custom curtains,0,974,0%,3.67
teal patterned cushions,0,974,0%,8.7
jade cushions,0,973,0%,9.67
designer oven gloves,0,966,0%,6.62
designer make up bag,0,964,0%,4.77
travel bag for men,0,963,0%,10.18
joules maternity,0,949,0%,4.21
leather messenger bag for men,0,948,0%,1.34
decorative accessories for living room,0,939,0%,4.08
designer laptop bags mens,0,930,0%,6.44
johnlewis black friday,0,929,0%,2.95
luxury makeup bag,0,923,0%,3.59
leather bag men,0,922,0%,3.1
men messenger bag,0,918,0%,2.18
velvet make up bag,0,914,0%,9.31
john.lewis sale,0,907,0%,1.69
designer briefcase,0,903,0%,9.29
double oven gloves uk,0,902,0%,7.81
black friday john lewis,0,889,0%,2.89
brown briefcase,0,885,0%,5.33
business briefcase,0,882,0%,4.64
mens bags for work,0,874,0%,2.59
leather laptop bags,0,869,0%,2.28
leather man bags,0,867,0%,2.26
oven mit,0,866,0%,3.95
wine fridge,0,862,0%,10.67
mens travel bags,0,857,0%,3.32
dkny makeup bag,0,857,0%,7.16
shelf accessories,0,847,0%,4.7
black friday deals john lewis,0,844,0%,3.35
john.lewis curtains,0,843,0%,3.16
joules make up bag,0,837,0%,8.39
tall mugs,0,830,0%,8.6
wine cabinet,0,830,0%,9.94
mens satchel bags,0,815,0%,2.6
sewing box debenhams,0,813,0%,4.17
office bag for men,0,811,0%,2.18
curtains ready made,0,811,0%,3.91
beautiful cushions,0,809,0%,7.77
sewing box uk,0,805,0%,5.7
bedside clocks,0,802,0%,6.17
messenger bag men,0,799,0%,2.39
leather vanity case,0,797,0%,8.54
nice cushions,0,790,0%,2.48
readymade curtains,0,786,0%,3.58
bedroom alarm clock,0,767,0%,10.42
leather backpack men,0,764,0%,2.59
wine cooler cabinet,0,742,0%,5.37
bags for men,0,738,0%,5.16
best curtains,0,732,0%,8.96
buy mugs,0,730,0%,3.39
lounge lighting,0,727,0%,6.14
waitrose mugs,0,724,0%,5.83
make up pouch,0,718,0%,2.11
mini makeup bag,0,717,0%,8.09
white makeup bag,0,714,0%,7.87
sewing box with accessories,0,714,0%,9.52
ceiling lights,0,713,0%,5.59
cylinder vacuum cleaner,0,712,0%,7.2
oven.gloves,0,708,0%,4.38
mens briefcase uk,0,707,0%,3.67
small sewing box,0,705,0%,2.5
mens laptop briefcase,0,703,0%,2.69
mens leather shoulder bags sale,0,698,0%,7.29
john lewis black friday sale,0,694,0%,3.24
rubber oven gloves,0,689,0%,9.79
messenger bags uk,0,688,0%,9.55
cool oven gloves,0,687,0%,7.32
baking gloves,0,681,0%,7.14
ovengloves,0,680,0%,4.72
alarm clock john lewis,0,677,0%,2
large make up bags,0,677,0%,4.45
cosmetic bag set,0,677,0%,5.92
john lewis drinks fridge,0,669,0%,1.35
shoulder bag men,0,669,0%,5.1
shoulder bag for men,0,667,0%,4.52
fold out makeup bag,0,665,0%,9.14
hallway ceiling lights,0,660,0%,8.51
mens designer briefcase,0,658,0%,9.25
large ceiling lights,0,654,0%,2.24
large sewing basket,0,651,0%,4.47
john lewis menswear,0,648,0%,2.03
cosmetic bags uk,0,647,0%,5.82
dkny wash bag,0,639,0%,6.38
long oven gloves,0,636,0%,8.57
monsoon maternity,0,635,0%,3.32
lounge cushions,0,633,0%,9.39
mens leather business bags,0,631,0%,5.09
laptop briefcase mens,0,627,0%,1.81
make uo bag,0,627,0%,3.95
large briefcase,0,625,0%,5.81
black friday electrical deals,0,624,0%,1.99
sewing organiser,0,624,0%,7.59
ladies wash bag,0,621,0%,1.5
oven glives,0,621,0%,4.48
messenger bag,0,620,0%,6.95
500ml mugs,0,619,0%,6.72
mens weekend bags,0,617,0%,7.32
makeuo bag,0,611,0%,4.09
small clocks,0,611,0%,6.78
make up case,0,609,0%,9.4
travel make up bag,0,607,0%,6.9
dining room accessories,0,604,0%,8.76
bedroom clocks,0,601,0%,8.5
mens luggage bags,0,600,0%,2.58
outdoor coffee tables,0,593,0%,7.69
weekend bag men,0,575,0%,6.8
nice coffee mugs,0,573,0%,4.25
men travel bag,0,573,0%,5.64
under counter wine fridge,0,572,0%,10.95
marks and spencer curtains made to order,0,571,0%,6.61
mens leather laptop briefcase,0,570,0%,2.19
roll up makeup bag,0,566,0%,8.92
makeup.bag,0,561,0%,3.94
designer vanity case,0,557,0%,8.34
makeup vanity bag,0,556,0%,6.13
cosmetics case,0,553,0%,8.32
mens work bags uk,0,552,0%,3.47
wine cabinets,0,552,0%,10.12
made to.measure curtains,0,549,0%,3.3
cosmetic pouch,0,547,0%,1.36
dkny cosmetic bag,0,546,0%,7.9
make up bags boots,0,544,0%,9.76
men weekend bag,0,542,0%,6.64
