#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features
443,white desk,5,5,,48000,https://www.next.co.uk/shop/department-homeware-category-officedesk-0,6,4088,1.2,19/10/2021 09:51,,"Sitelinks, Image pack"
444,leather jackets,2,2,,27000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/madewith-leather,8,4082,1,19/10/2021 15:51,,"Knowledge card, Sitelinks, People also ask, Image pack"
445,cotton dressing gowns,1,1,,8000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-robes,8,4081,1,19/10/2021 14:31,,"Sitelinks, People also ask, Image pack"
446,table lamps uk,1,1,,9400,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,20,4069,0.8,20/10/2021 02:37,,"Sitelinks, Image pack"
447,unisex baby clothes,2,2,,18000,https://www.next.co.uk/shop/gender-newbornunisex-0,5,4066,0.5,19/10/2021 03:39,,"Sitelinks, People also ask, Image pack"
448,white curtains,2,2,,18000,https://www.next.co.uk/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains-colour-white,2,4063,0.5,19/10/2021 10:19,,"Sitelinks, Image pack"
449,lounge wear sets,1,1,,12000,https://www.next.co.uk/shop/gender-women-productaffiliation-loungewear-0,22,4057,1.7,19/10/2021 12:09,,"Sitelinks, Image pack"
450,womens waterproof coat,1,1,,9700,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/style-raincoat,16,4043,0.7,18/10/2021 11:21,,"Sitelinks, Image pack"
451,secret santa gift ideas,1,1,,4500,https://www.next.co.uk/shop/promotion-secretsanta-0,12,4036,0.5,19/10/2021 23:50,,"Top stories, Video"
452,white linen trousers,1,1,,7300,https://www.next.co.uk/shop/gender-women-category-trousers/madewith-linen,0,4031,1.1,18/10/2021 14:40,,"Sitelinks, Image pack"
453,winter coats,1,1,,19000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,28,4007,0.7,18/10/2021 20:23,,"Sitelinks, Image pack"
454,wine glasses,2,6,17/10/2021 23:50,25000,https://www.next.co.uk/shop/department-homeware-productaffiliation-kitchen/category-glasses,6,4007,0.8,19/10/2021 11:52,,"Sitelinks, Image pack"
455,dropping earrings,1,1,,11000,https://www.next.co.uk/shop/gender-women-productaffiliation-jewellery/category-earrings-style-drop,0,3993,1.1,19/10/2021 17:38,,"People also ask, Sitelinks, Image pack"
456,pink cushions,1,1,,14000,https://www.next.co.uk/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions-colour-pink,0,3992,0.7,19/10/2021 09:52,,"Sitelinks, Image pack"
457,cufflinks,2,1,17/10/2021 10:34,20000,https://www.next.co.uk/shop/gender-men-productaffiliation-accessories/category-cufflinks,12,3986,1.4,19/10/2021 21:57,,"Sitelinks, People also ask, Top stories, Video, Image pack"
458,girls christmas jumper,1,1,,10000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls/style-christmassweater,3,3965,0.6,20/10/2021 05:21,,Sitelinks
459,wedge trainers,1,1,,16000,http://www.next.co.uk/search?w=wedge trainers,0,3953,0.6,20/10/2021 06:09,,"Sitelinks, Image pack"
460,bikinis,3,1,17/10/2021 18:59,30000,https://www.next.co.uk/shop/gender-women-productaffiliation-swimwear/category-bikinis,25,3946,1.7,19/10/2021 00:50,,"Sitelinks, Image pack"
461,nike air max,4,5,17/10/2021 13:55,170000,https://www.next.co.uk/shop/promotion-nikeairmax-0,21,3944,0.6,19/10/2021 13:37,,"Sitelinks, Top stories, Thumbnail, Image pack"
462,white denim jacket,1,1,,8900,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-jackets-colour-white-style-denim,0,3941,0.7,19/10/2021 03:00,,"Sitelinks, Image pack"
463,chinos,1,2,18/10/2021 23:48,26000,https://www.next.co.uk/shop/gender-men-category-trousers/style-chino,12,3933,1.1,20/10/2021 04:02,,"Sitelinks, People also ask, Image pack"
464,furniture stores,5,6,16/10/2021 15:29,43000,https://www.next.co.uk/homeware,80,3929,1.4,18/10/2021 11:26,,Sitelinks
465,stocking fillers,4,1,17/10/2021 22:52,33000,https://www.next.co.uk/shop/promotion-stockingfillers-0,9,3928,0.45,19/10/2021 00:30,,"Sitelinks, People also ask, Image pack"
466,lamps,2,2,,38000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,22,3922,0.8,20/10/2021 08:29,,"Knowledge card, Sitelinks, Image pack"
467,tea dresses,2,3,18/10/2021 17:15,17000,https://www.next.co.uk/shop/gender-women-category-dresses/style-teadress,4,3918,1,20/10/2021 06:01,,"Sitelinks, Image pack"
468,grey bridesmaid dress,1,1,,8900,https://www.next.co.uk/shop/gender-women-category-dresses/colour-grey-use-bridesmaid,12,3917,0.5,19/10/2021 09:52,,"Sitelinks, People also ask, Image pack"
469,yellow curtains,1,1,,7100,https://www.next.co.uk/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains-colour-yellow,0,3885,0.5,18/10/2021 17:58,,"Sitelinks, Image pack"
470,coats and jackets womens,1,3,17/10/2021 12:34,8000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,49,3881,0.8,19/10/2021 17:50,,"Sitelinks, Image pack"
471,boys hoodies,1,1,,17000,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-productaffiliation-sweatshirtsandhoodies/category-hoodies,11,3878,0.9,20/10/2021 04:16,,"Sitelinks, Image pack"
472,nightwear for women,1,1,,12000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear-0,25,3877,1.1,19/10/2021 16:30,,"Sitelinks, Image pack"
473,black trainers women,4,2,17/10/2021 12:06,43000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-trainers,28,3876,1.3,19/10/2021 06:28,,"Sitelinks, Image pack"
474,bath mat,3,3,,36000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,4,3869,0.9,19/10/2021 03:27,,"Knowledge card, Sitelinks, People also ask, Image pack"
475,mattress topper,5,5,,89000,https://www.next.co.uk/shop/department-homeware-productaffiliation-toppersandprotectors-0,16,3869,1,18/10/2021 08:56,,"Sitelinks, People also ask, Top stories, Video, Image pack"
476,girls denim jacket,1,1,,8700,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-coatsandjackets/category-jackets-style-denim,0,3865,0.7,20/10/2021 03:48,,"Sitelinks, Image pack"
477,side tables for living room,1,2,17/10/2021 21:05,20000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-sidetable,6,3862,0.8,19/10/2021 03:34,,"Sitelinks, Image pack"
478,mirrored bedroom furniture,1,3,17/10/2021 17:42,4800,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedroomfurniture/finish-mirrored,1,3861,1.3,19/10/2021 09:46,,"Sitelinks, Image pack"
479,pyjamas set,1,1,,8100,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas,21,3856,0.8,18/10/2021 11:19,,"Sitelinks, Image pack"
480,clothes womens uk,1,1,,12000,https://www.next.co.uk/women,76,3855,0.5,18/10/2021 22:12,,Sitelinks
481,ted baker earrings,2,2,,18000,https://www.next.co.uk/shop/gender-women-productaffiliation-jewellery/brand-tedbaker,0,3853,0.7,19/10/2021 20:03,,"Sitelinks, Image pack"
482,long sleeve maxi dress,3,3,,23000,https://www.next.co.uk/shop/gender-women-category-dresses/sleeve-longsleeve,22,3844,0.7,19/10/2021 01:39,,"Sitelinks, Image pack"
483,white bedding,2,1,17/10/2021 00:49,18000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedding/colour-white,8,3841,0.6,19/10/2021 18:54,,"Sitelinks, Image pack"
484,culotte jumpsuits,1,1,,5900,https://www.next.co.uk/shop/gender-women-productaffiliation-jumpsuitsandplaysuits-0,2,3837,0.7,20/10/2021 09:10,,"Sitelinks, Image pack"
485,school uniform,5,4,18/10/2021 16:55,56000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-schoolwear-0,55,3836,0.7,20/10/2021 05:05,,"Sitelinks, Image pack, Top stories, Thumbnail"
486,small double fitted sheets,1,1,,8500,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedding/type-fittedsheet,0,3827,1.1,19/10/2021 01:20,,"Sitelinks, People also ask"
487,girls onesie,3,3,,18000,https://www.next.co.uk/shop/gender-oldergirls-gender-youngergirls-productaffiliation-nightwear/category-allinone,1,3826,0.5,19/10/2021 09:49,,"Sitelinks, Image pack"
488,corner tv stand,2,2,,22000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-tvunits,12,3819,1.1,20/10/2021 07:57,,"Sitelinks, Image pack"
489,ceiling lights uk,1,1,,15000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,14,3816,0.9,18/10/2021 09:07,,"Sitelinks, Image pack"
490,gift sets for women,1,1,,14000,https://www.next.co.uk/shop/promotion-giftsforher-0,23,3811,0.6,18/10/2021 10:54,,"Sitelinks, Image pack"
491,mens hooded dressing gown,1,1,,8000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear/category-robes,0,3809,0.6,19/10/2021 03:44,,"Sitelinks, Image pack"
492,mens summer jackets,1,1,,6900,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets/category-jackets-use-casual,9,3808,0.9,18/10/2021 23:11,,"Sitelinks, Image pack"
493,red jumpers,1,1,,9400,https://www.next.co.uk/shop/gender-women-category-jumpers/colour-red,0,3805,1.6,18/10/2021 08:58,,"Sitelinks, Image pack"
494,extending dining table,2,2,,18000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture/category-diningtables,4,3804,1.5,19/10/2021 11:38,,"Sitelinks, Image pack"
495,shapewear,1,1,,18000,https://www.next.co.uk/shop/gender-women-productaffiliation-lingerie/category-shapewearsolutions,5,3804,1.1,19/10/2021 11:52,,"Sitelinks, People also ask, Image pack"
496,gilet mens,1,1,,8800,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets/category-gilets,2,3802,1.3,18/10/2021 12:00,,"People also ask, Sitelinks, Image pack"
497,mens black suit,1,1,,8900,https://www.next.co.uk/shop/gender-men-productaffiliation-suits/colour-black,1,3800,1,18/10/2021 15:47,,"Sitelinks, Image pack"
498,bras lace,1,1,,10000,https://www.next.co.uk/shop/gender-women-productaffiliation-lingerie/category-bras-pattern-lace,1,3800,0.45,19/10/2021 17:56,,"Shopping results, Thumbnail, Sitelinks, Top stories, Video"
499,handbags for women,1,2,17/10/2021 16:35,7500,https://www.next.co.uk/shop/gender-women-productaffiliation-accessories/category-bags,45,3796,0.9,19/10/2021 09:45,,Sitelinks
