#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features
110,secret santa ideas,1,1,,13000,https://www.next.co.uk/shop/promotion-secretsanta-0,8,9274,0.35,18/10/2021 20:58,,"People also ask, Top stories, Video, Sitelinks, Image pack"
111,mom jeans,3,3,,101000,https://www.next.co.uk/shop/gender-women-category-jeans/fit-mom,24,9229,0.7,18/10/2021 16:21,,"Sitelinks, People also ask, Image pack, Top stories, Video"
112,ladies dressing gowns,1,1,,24000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-robes,9,9150,0.8,18/10/2021 15:57,,"Sitelinks, Image pack"
113,boys coats,3,2,17/10/2021 02:49,54000,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-productaffiliation-coatsandjackets-0,12,9124,0.8,19/10/2021 20:58,,"Sitelinks, Image pack"
114,swimsuit,1,1,,25000,https://www.next.co.uk/shop/gender-women-productaffiliation-swimwear/category-swimsuits,12,9050,1,20/10/2021 07:03,,"Shopping results, Thumbnail, Sitelinks, Top stories, Image pack, Video"
115,laura ashley curtains,1,1,,11000,https://www.next.co.uk/laura-ashley/shop/department-homeware-productaffiliation-curtainsandblinds/brand-lauraashley-category-curtains,0,9037,0.2,19/10/2021 02:56,,"Sitelinks, Image pack"
116,coffee table,3,3,,96000,https://www.next.co.uk/shop/department-homeware-productaffiliation-coffeesidetables-0,13,9025,1,13/08/2021 17:35,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Adwords bottom"
117,wellington boots,2,2,,72000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-wellies,12,9019,0.8,19/10/2021 08:31,,"Sitelinks, People also ask, Image pack"
118,dining table and chairs,7,5,18/10/2021 21:16,126000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture-0,31,9010,1.5,20/10/2021 02:09,,"Sitelinks, Image pack"
119,mens pyjamas,1,1,,33000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear-0,9,8951,0.7,19/10/2021 10:05,,"Sitelinks, Image pack"
120,dining chairs,5,6,17/10/2021 17:25,76000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture/category-diningchairs,16,8915,1.8,19/10/2021 20:19,,"Sitelinks, Image pack"
121,gilet womens,2,2,,28000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-gilets,6,8846,0.8,19/10/2021 17:47,,"Sitelinks, Image pack"
122,floral dress,1,1,,28000,https://www.next.co.uk/shop/gender-women-category-dresses/pattern-floral,8,8758,1.3,19/10/2021 18:49,,"Sitelinks, Top stories, Thumbnail, Image pack"
123,womens coats,1,1,,33000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,49,8712,0.9,19/10/2021 18:30,,"Sitelinks, Image pack"
124,ladies jackets,1,1,,14000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,49,8706,0.9,18/10/2021 08:58,,"Sitelinks, Image pack"
125,coats,2,1,17/10/2021 19:19,53000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets-0,56,8637,0.9,19/10/2021 16:03,,"Sitelinks, Top stories, Thumbnail, Image pack"
126,joe browns,2,2,,154000,https://www.next.co.uk/shop/brand-joebrowns-0,7,8602,0.07,18/10/2021 08:58,,"Sitelinks, People also ask"
127,ted baker pyjamas,1,1,,11000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/brand-bbytedbaker,0,8548,0.45,19/10/2021 10:07,,"Sitelinks, Image pack"
128,swimming costumes,2,2,,33000,https://www.next.co.uk/shop/gender-women-productaffiliation-swimwear-0,21,8538,1.1,19/10/2021 12:54,,"Knowledge card, Sitelinks, Image pack"
129,home accessories,1,1,,22000,https://www.next.co.uk/shop/department-homeware-productaffiliation-decorativeaccessories-0,37,8528,0.7,18/10/2021 23:25,,"Sitelinks, Image pack"
130,prom dresses uk,1,1,,23000,https://www.next.co.uk/shop/gender-women-category-dresses/use-prom,20,8452,0.5,20/10/2021 01:37,,Sitelinks
131,bedroom furniture,6,6,,96000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedroomfurniture-0,28,8382,1.9,19/10/2021 02:51,,"Sitelinks, Image pack"
132,womens gilet,2,2,,25000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-gilets,6,8357,0.7,18/10/2021 08:56,,"Sitelinks, Image pack"
133,accent chairs,2,1,17/10/2021 13:13,40000,https://www.next.co.uk/shop/promotion-accentchairs-0,8,8312,0.9,19/10/2021 02:19,,"Sitelinks, People also ask, Image pack"
134,mens slippers uk,1,1,,20000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear/category-slippers,10,8310,1.3,19/10/2021 09:56,,"Sitelinks, Image pack"
135,mens joggers,3,3,,46000,https://www.next.co.uk/shop/gender-men-category-joggers-0,12,8250,1,19/10/2021 01:01,,"Sitelinks, Image pack"
136,wall art,2,1,17/10/2021 21:56,108000,https://www.next.co.uk/shop/department-homeware-productaffiliation-decorativeaccessories/category-wallart,45,8241,0.6,19/10/2021 21:08,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Image pack, Adwords bottom"
137,mens body warmer,1,1,,17000,https://www.next.co.uk/shop/gender-men-productaffiliation-coatsandjackets/category-gilets,1,8206,0.8,19/10/2021 21:18,,"Sitelinks, People also ask, Image pack"
138,hoodies,3,2,16/10/2021 23:06,86000,https://www.next.co.uk/shop/gender-men-productaffiliation-sweatshirtsandhoodies-0,16,8187,1,18/10/2021 12:32,,"Sitelinks, Image pack"
139,boys school shoes,3,3,,57000,https://www.next.co.uk/shop/gender-olderboys-gender-youngerboys-productaffiliation-schoolwear/category-shoes,10,8145,1.5,19/10/2021 23:18,,"Sitelinks, Image pack"
140,mens dressing gown,1,1,,32000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear/category-robes,2,7922,0.7,19/10/2021 01:46,,"Sitelinks, Image pack"
141,push up bras,1,1,,30000,https://www.next.co.uk/shop/gender-women-productaffiliation-lingerie/category-bras-style-pushup,5,7878,1,18/10/2021 23:34,,"Sitelinks, People also ask, Top stories, Video"
142,tesco clothing,4,4,,185000,https://www.next.co.uk/shop/brand-ff-0,13,7836,0.7,19/10/2021 13:31,,"Sitelinks, Top stories, Thumbnail, Image pack"
143,eyelet curtains,1,1,,25000,https://www.next.co.uk/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains-type-eyelet,6,7746,0.8,19/10/2021 20:51,,"Sitelinks, Top stories, Video, Image pack"
144,skechers slippers,1,2,16/10/2021 07:28,17000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/brand-skechers-category-slippers,0,7600,0.45,18/10/2021 12:03,,"Sitelinks, Image pack"
145,table lamp,2,3,16/10/2021 15:18,53000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,21,7546,0.8,18/10/2021 16:16,,"Knowledge card, Sitelinks, Image pack"
146,yours,2,2,,165000,https://www.next.co.uk/shop/brand-yours-0,13,7440,0.15,19/10/2021 14:10,,"Sitelinks, Top stories, Video"
