Page,Clicks,Impressions,CTR,Position
https://www.tatielou.co.uk/pages/returns-cancellation,0,6,0%,10.33
https://www.tatielou.co.uk/products/pachamama-coral-fringed-parachute-lampshade-1,0,6,0%,20.17
https://www.tatielou.co.uk/products/gingko-salmon,0,6,0%,25.17
https://www.tatielou.co.uk/products/agnes-green-and-pink-velvet-fabric-sample,0,6,0%,28.5
https://www.tatielou.co.uk/collections/clothing/products/shibori-indigo-and-fuchsia-dyed-vest,0,6,0%,37
https://www.tatielou.co.uk/products/agnes-black-and-gold-wallpaper-sample-1,0,6,0%,48.33
https://www.tatielou.co.uk/products/copy-of-palm-pink-greetings-card,0,6,0%,66.17
https://www.tatielou.co.uk/products/burst-forest-table-runner,0,6,0%,80.17
https://www.tatielou.co.uk/products/ginkgo-black-wallpaper-sample,0,6,0%,82.33
https://www.tatielou.co.uk/products/itajime-row-tea-towel,0,5,0%,6
https://www.tatielou.co.uk/products/ginkgo-blue-velvet-cushion,0,5,0%,6.4
https://www.tatielou.co.uk/collections/all-products/products/nui-floral-teal,0,5,0%,11.4
https://www.tatielou.co.uk/products/marigold-art-print,0,5,0%,11.8
https://www.tatielou.co.uk/products/indigo-itajime-diamond-fabric,0,5,0%,25.6
https://www.tatielou.co.uk/products/itajime-diamond-table-cloth,0,5,0%,26.8
https://www.tatielou.co.uk/products/agnes-green-and-pink-wallpaper-sample,0,5,0%,27.8
https://www.tatielou.co.uk/products/nui-floral-tangerine,0,5,0%,33.4
https://www.tatielou.co.uk/products/rainbow-dye-napkins,0,5,0%,34.6
https://www.tatielou.co.uk/products/lily-art-print,0,5,0%,49.4
https://www.tatielou.co.uk/products/leopard-peach-velvet-fabric-sample,0,5,0%,50
https://www.tatielou.co.uk/products/ginkgo-black-velvet-fabric-1,0,5,0%,58.4
https://www.tatielou.co.uk/products/burst-blue-table-runner,0,5,0%,72.6
https://www.tatielou.co.uk/products/franny-spice-table-runner,0,5,0%,77
https://www.tatielou.co.uk/products/pachamama-cushion-coral,0,5,0%,97.8
https://www.tatielou.co.uk/collections/all-products/products/indigo-itajime-cross-cushion,0,4,0%,1.75
https://www.tatielou.co.uk/collections/all,0,4,0%,2.5
https://www.tatielou.co.uk/products/shibori-triangle-napkins,0,4,0%,8.25
https://www.tatielou.co.uk/products/pachamama-peach-fringed-parachute-lampshade,0,4,0%,9
https://www.tatielou.co.uk/products/tatie-lou-gift-card,0,4,0%,9
https://www.tatielou.co.uk/pages/flip-book,0,4,0%,9.5
https://www.tatielou.co.uk/collections/all-products/products/indigo-nui-floral-wallpaper,0,4,0%,11
https://www.tatielou.co.uk/products/margaux-teal-velvet-fabric,0,4,0%,20.25
https://www.tatielou.co.uk/products/blue-and-tangerine-nui-burst-wallpaper,0,4,0%,21.5
https://www.tatielou.co.uk/products/rainbow-dye-table-runner,0,4,0%,27
https://www.tatielou.co.uk/products/burst-forest-napkins,0,4,0%,27.25
https://www.tatielou.co.uk/products/indigo-itajime-row-wallpaper-sample,0,4,0%,29.25
https://www.tatielou.co.uk/collections/wallpaper/products/leopard-berry-wallpaper,0,4,0%,45.75
https://www.tatielou.co.uk/collections/wash-bags/products/washbag-1,0,4,0%,66.25
https://www.tatielou.co.uk/collections/pachamama-velvet-fabric,0,3,0%,5
https://www.tatielou.co.uk/products/itajime-rows-grey-and-lilac,0,3,0%,8.67
https://www.tatielou.co.uk/products/ginkgo-black-velvet-fabric,0,3,0%,9
https://www.tatielou.co.uk/products/black-ginkgo-face-mask,0,3,0%,9.33
https://www.tatielou.co.uk/products/itajime-burst-green,0,3,0%,11
https://www.tatielou.co.uk/products/pachamama-peach-table-runner,0,3,0%,21.67
https://www.tatielou.co.uk/products/margaux-dusk-wallpaper-sample,0,3,0%,30.33
https://www.tatielou.co.uk/products/indigo-nui-drop-cushion,0,3,0%,32.67
https://www.tatielou.co.uk/products/pachamama-indigo-wallpaper-1,0,3,0%,42.33
https://www.tatielou.co.uk/products/palm-bright-greetings-card,0,3,0%,43
https://www.tatielou.co.uk/products/passion-green-art-print,0,3,0%,43.67
https://www.tatielou.co.uk/products/deco-aqua-tea-towel,0,3,0%,47
https://www.tatielou.co.uk/products/indigo-itajime-diamond-fabric-sample,0,3,0%,55.67
https://www.tatielou.co.uk/products/margaux-teal-fabric-sample,0,3,0%,73.67
https://www.tatielou.co.uk/products/burst-pink-table-runner,0,3,0%,83
https://www.tatielou.co.uk/products/pachamama-indigo-wallpaper-sample-1,0,2,0%,2.5
https://www.tatielou.co.uk/collections/face-masks/products/black-ginkgo-face-mask,0,2,0%,4
https://www.tatielou.co.uk/products/agnes-green-and-pink-velvet-fabric,0,2,0%,5
https://www.tatielou.co.uk/products/itajime-diamond-tan,0,2,0%,5
https://www.tatielou.co.uk/products/itajime-rows-turq-and-ind,0,2,0%,5
https://www.tatielou.co.uk/products/indigo-itajime-cross-fabric,0,2,0%,6
https://www.tatielou.co.uk/products/pachamama-apple-napkin,0,2,0%,6
https://www.tatielou.co.uk/collections/nui-collection-1,0,2,0%,7
https://www.tatielou.co.uk/products/washbag-4,0,2,0%,7
https://www.tatielou.co.uk/collections/wallpaper?page=2,0,2,0%,8.5
https://www.tatielou.co.uk/products/pachamama-berry-table-runner,0,2,0%,9
https://www.tatielou.co.uk/products/palm-pastel-greetings-card,0,2,0%,10.5
https://www.tatielou.co.uk/products/indigo-itajime-cross-fabric-1,0,2,0%,15
https://www.tatielou.co.uk/products/protea-art-print,0,2,0%,15.5
https://www.tatielou.co.uk/products/burst-forest-table-cloth,0,2,0%,16
https://www.tatielou.co.uk/products/pachamama-berry-art-print,0,2,0%,22
